,Id,Regiao,Data_Inicio,Andar,Elevador,Max_Ocup,Tipologia,Ar_Condicionado,Num_Reservas,Valor_FLH
343,787364,Lisboa,2018-10-23,1,1.0,6,T3,0,70,6238.589
344,789237,Lisboa,2015-05-20,2,,4,T2,0,71,4798.612
345,773322,Lisboa,2018-09-26,0,,2,T0,0,72,2987.096
346,775328,Lisboa,2018-09-26,2,,7,T3,1,37,6280.813
347,776331,Lisboa,2018-09-28,4,1.0,5,T2,1,69,6840.288
348,759280,Lisboa,2018-09-03,1,1.0,4,T1,1,79,3976.126
349,761286,Lisboa,2018-09-04,-1,,4,T1,1,95,1962.324
350,762289,Lisboa,2018-09-06,3,,7,T4,0,46,4694.585
351,766301,Lisboa,2018-09-13,4,1.0,6,T2,1,91,9452.877
352,935808,Lisboa,2019-03-18,1,,3,T1,1,55,2872.436
353,936811,Lisboa,2019-03-19,0,,2,T0,1,50,960.001
354,937814,Lisboa,2019-03-19,1,,2,T0,1,55,991.718
355,938817,Lisboa,2019-03-19,2,,2,T0,1,54,949.193
356,939820,Lisboa,2019-03-19,3,,2,T0,1,58,1146.495
357,940823,Lisboa,2019-03-19,4,,2,T0,1,50,956.837
358,952859,Lisboa,2019-03-29,4,1.0,4,T1,1,54,1211.371
359,967904,Lisboa,2019-06-11,5,1.0,2,T1,0,41,1819.573
360,975928,Lisboa,2019-05-07,2,1.0,4,T1,1,11,881.923
361,976931,Lisboa,2019-05-07,3,1.0,4,T1,1,4,227.36
362,970913,Lisboa,2019-06-05,0,,4,T2,0,36,1773.1
363,956871,Lisboa,2019-04-09,0,,3,T2,1,60,3000.879
364,958877,Lisboa,2019-04-10,0,,4,T1,1,33,3807.951
365,918757,Lisboa,2019-02-27,3,1.0,3,T1,0,64,3520.972
366,919760,Lisboa,2019-02-27,4,1.0,3,T1,0,49,3176.257
367,883652,Lisboa,2019-01-10,1,1.0,2,T1,1,66,3898.566
368,859580,Lisboa,2018-11-16,2,0.0,4,T1,1,68,4505.963
369,861586,Lisboa,2018-11-16,2,,5,T3,0,70,5109.636
370,862589,Lisboa,2018-11-16,4,1.0,6,T3,0,73,6416.949
371,896691,Lisboa,2019-02-13,3,,4,T1,0,4,399.504
372,897694,Lisboa,2019-02-14,5,1.0,4,T2,1,23,1800.855
373,898697,Lisboa,2019-02-14,5,1.0,2,T0,1,37,2987.019
374,899700,Lisboa,2019-02-21,1,1.0,4,T2,1,10,2208.857
375,900703,Lisboa,2019-02-21,1,1.0,2,T1,1,4,1847.363
376,901706,Lisboa,2019-02-21,1,,2,T1,1,57,3320.072
377,902709,Lisboa,2019-02-25,3,1.0,4,T1,1,40,1661.198
378,912739,Lisboa,2019-06-11,4,,4,T2,1,37,3511.578
379,914745,Lisboa,2019-02-27,3,,4,T2 Duplex,1,7,189.994
